,NPERS,NACTIFS,REVMEN,REVMENMN,REVMENMX,COEFFUC,REVMENUC,REVMENMNUC,REVMENMXUC,CJACTOCCUP,MNAIS,ANAIS,AGE,ANARRIV,AGARRIV,RABSP,NOIK1,NOIK2,NBENFM3,NBENF3A17,NBENF18P,TOTREVEN,DUDET,DEBDETM,DEBDETA,TPSINT,DATANT,DAMOIS,TRAJET,POURCLIEN,ANETA,HH,HHTOT,JOURTR,NBSAME,NBDIMA,DEBUTM,FINM,DEBUT2H,DEBUT2M,FIN2H,FIN2M,NBNUIT,NBASTR,COMBIEN,TPMAISON,CONGE,ATMAL,NBRKM,DATACCM,DATACCA,NBJARR,RESTMAIN,INFOH,FINETUD,SUPH,SUPA,DEBUTH,FINH,REVMENS,KMANNU,TPSINFO,AGFINETU,ANFINETU,WHO,pondcal,pondqaa,duree_cessation,tps_interim,tps_contrat,anciennete,debut_contrat,revannu_drap,revannu,revmensc,revmenscc_drap,fprov,C1C_1,C1C_2,C1C_3,C1C_4,C1C_5,C1C_6,C1C_8,C1C_9,C1D_1,C1D_2,C1D_3,C1D_4,C1D_5,C1D_6,C1D_8,C1D_9,TYPMEN5_2,TYPMEN5_3,TYPMEN5_4,TYPMEN5_5,TYPMEN15_11,TYPMEN15_21,TYPMEN15_23
NPERS,1.0,0.22848891334337612,0.047554280221229935,0.046161203160908944,0.047492258501949075,0.8436237438320794,-0.2074519286602095,-0.21032639677034493,-0.1995116250097178,0.04460005138719803,0.002947670018060185,0.19369805078075927,-0.1942611574976821,0.07567195301761585,0.07761427437281426,-0.011651772121237953,0.07669872854796024,0.06685715096641656,0.2141837995159615,0.8016761206555072,0.33238042973306015,0.031680179308716624,0.001931411000014108,-0.0006226874128176965,-0.00016481043144686827,0.002381479552892397,0.028650862364000537,0.009251857084931129,0.000966883520548692,0.003324743876283371,0.014581319535914666,-0.008231608741537893,-0.0006702062109509609,-0.027141423626989583,0.002948800961041914,0.018129796369215686,0.006385876563987105,0.0022468203182605807,-0.011584766472861701,0.0026957366442716445,-0.007362053286087387,-0.0010954235511584655,0.019046326429147713,0.00784467899509797,0.027756256307849097,0.015643060715931828,-0.012624289348681612,-0.022060985656356533,-0.001235926256946384,0.012976831257263587,0.015375241495954676,0.0059180344551348,-0.01360034892398328,-0.005747009351990423,0.02251403673425259,-0.012423587747732043,-0.013183875223426974,-0.011070753858906815,-0.01849822380191087,0.02175910159134898,0.012499289412096139,-0.03853498716351149,-0.004321677269625868,0.016918404787397798,0.0038577234152729865,-0.036117291772596066,-0.03468062607831306,-0.003356020363249474,-0.0012901958236936836,0.004265985455038553,-0.15842302771294495,0.009813430748095894,-0.005443821405988712,0.004049067354683349,0.0189875847824093,0.017528520402262097,-0.07178348112163306,0.011034409933206887,0.004379982110176038,-0.0003230935532869329,-0.007805093772000645,-0.007950510153809922,0.0012879039904650535,-0.008927856843256534,-0.004846912983578103,-0.0010233165024894028,0.012738348357197199,-0.015409691655803893,-0.005588585234032517,-0.004451513950617058,0.01768985484877913,-0.002191166674529364,-0.005822820588280541,-0.00633996969361197,-0.7086117918264114,0.634790872154334,0.06189890038684472,-0.01260642343883303,-0.006268813589918847,-0.0018216959730355461
NACTIFS,0.22848891334337612,1.0,0.0558674979927484,0.05554785279775342,0.054640669891568384,0.293186752673557,-0.024618846247686316,-0.02458897551743097,-0.024009054293847837,0.4748991297640849,-0.004933184259837669,0.06607931316890645,-0.06627148504261318,-0.03796727905563604,-0.04267797236607395,-0.009128699819809748,0.11716108804900037,0.32934227505190955,-0.0665310514316085,0.02368650117609251,0.4269699058202845,0.03600129436987613,-0.0038042186618695915,-0.0016473548148549684,-0.0061806783219869625,-0.0048941481959460615,0.009557078144447256,-0.0029357633714952223,-0.02160995994966539,-0.020239633905835545,0.056505125061639024,0.005988764627400167,-0.00966313354472191,0.015718735791129885,-0.008349939763358932,0.0018393851767355017,0.012696906973540706,0.025650034312246123,-0.015512453529634127,-0.004704300028695175,-0.010807774766699911,-0.0038119598128827136,0.008512808372572615,-0.004934245855737765,0.007790185630592085,-0.019707604130112272,0.03631475924983687,0.008501159240390573,-0.017283163270711856,0.0014477751939663045,0.001922209909293962,0.005370047663689079,-0.0022236568920045315,0.0008324720846907073,-0.011297195881778188,0.0021038781430952258,-0.004626249256998504,-0.004270806857172021,-0.0033143049389968648,-0.004229155536367965,-0.01712465146273594,-0.009641911285526366,-0.0013870779607884237,-0.00837281438688415,-0.010766540148041277,0.02003938220903738,0.01685860947557623,-0.006315624551967012,-0.004111743820362124,-0.005659754849683676,-0.022358629524377328,-0.0037071679166772106,-0.011204087930271129,-0.009511304565246168,-0.009819753017916046,0.021804026440111472,-0.006141980848169556,-0.023534315547980154,0.0077544788568465,0.006283099543963482,0.00794999104159402,-0.000501110281408554,-0.0010545783092711127,-0.0039889986680636345,0.002069559142447952,-0.026154844767190204,0.009542060499797627,-0.0016261838379952164,0.0018736294298860087,0.013908341690311197,-0.0013088143757449234,0.0013476652443881099,0.0004005486243161016,-0.02972759033226997,-0.2696697092061779,0.20070045634488615,0.10182871646230086,-0.024104011948309925,-0.02040871292414236,-0.024104011948309925
REVMEN,0.047554280221229935,0.0558674979927484,1.0,0.9835640708458623,0.9874701661557168,0.06206692604452383,0.9374538378459486,0.9215464148395229,0.926898847391797,0.14867918590771603,-0.004734227439590283,-0.08468790097103053,0.08515851689563832,-0.039773198758731115,-0.05385704935208821,-0.01825910120043435,-0.04813377221326301,0.064151965065623,-0.018684121397148604,0.0301902883414872,0.050286690597265274,0.7347994547845368,0.00041169847035229276,-0.07174575516474789,-0.07886329117126667,-0.0066590670919584715,-0.007740170272868501,-0.08437514630284582,-0.015226431155150827,0.016613973198343835,0.028765449210979423,0.13146580146743472,0.042706774200196744,0.0002039427230938502,-0.06850530029510822,-0.05494190606452705,0.05021372343766912,0.02887036701920669,-0.03303137532014551,-0.021460768151355995,-0.028218435002660986,-0.0228271947554898,-0.020117860135513713,0.07237619517908793,0.0826455379099512,0.14193924569815564,0.09700506845549543,-0.033490990595895845,0.06828693308581478,-0.04177315935511251,-0.04574403604148981,-0.019694786630809095,-0.00026937816653087386,0.07325009254554232,0.09830212630827596,-0.03138207668268963,-0.018292798376739947,0.028901027141405543,0.10218388618202073,0.1766342808028123,0.030939424043614817,0.21143262022120968,-0.0015816390979250417,-0.01639204001147988,0.02696365967509387,0.019457133316026318,0.029629150460457682,-0.03017777149884761,-0.02090476407516951,-0.016897604160964357,0.11344337881364516,-0.029666051940226285,0.02854092553790505,0.07660896176315951,0.18486527470183023,0.08187670819965588,-0.018608842188553406,-0.05085870205895657,0.022875777696618697,0.04671523347882797,0.021291373136226574,-0.022634736671947753,-0.01086238228541404,-0.01606019909127382,-0.013911666178790931,-0.0627572941033337,0.003655963448340728,0.04377443078954025,0.040919066549879625,-0.00809390562198804,0.00359152887968264,-0.015257054798033092,-0.014833896524204184,-0.007149411941681415,-0.05100223136214828,0.041613896729159196,0.013389091031495305,-0.005711274068121763,-0.006366923481381166,-0.0032705551397110336
REVMENMN,0.046161203160908944,0.05554785279775342,0.9835640708458623,1.0,0.9427468537974477,0.057925875676434486,0.9216138281895632,0.9372705096404534,0.883910274214489,0.14760050641293276,-0.00386897006413775,-0.07226656774413792,0.07270132467837181,-0.04135081169758091,-0.055173152927828484,-0.016285608822984014,-0.04987994767812886,0.06355574273624211,-0.012053898053124965,0.03163218594401135,0.04148943873449232,0.8374468872838146,0.001771506789109636,-0.06948025530783526,-0.07613451174676075,-0.006729926094296351,-0.006222583855207173,-0.0789260673776718,-0.015994800899444526,0.012046974876707278,0.03936834184429027,0.12449597213264668,0.038810536686239926,0.0002815150766117713,-0.06694180582935212,-0.0532658811600825,0.050023676163009,0.02848181437277897,-0.028948628440061536,-0.017815949736308238,-0.024015691652864924,-0.02087997087741653,-0.016895571964151715,0.07097305142707443,0.08102426597838279,0.1332637650655318,0.09553036856920458,-0.030035082195042764,0.06238834115425718,-0.03811702388839717,-0.042355656582688736,-0.017656130467805835,-0.0008812046234548343,0.06946303949092823,0.09358426259407587,-0.03355385269808625,-0.017524613130924904,0.026064893225643922,0.09524315034038926,0.18365123021111326,0.026729087349978926,0.20014887467991452,-0.0010462282784139923,-0.015381992503115201,0.02760703948238144,0.013210017158132624,0.02333594207822586,-0.028670827629715574,-0.020445391216064472,-0.01662236155393098,0.10633508548395312,-0.030380149807876157,0.04884173479351304,0.07665379409373896,0.19010228835388923,0.12313849406197581,-0.01574235587739457,-0.050838966182886754,0.022700930932754035,0.04532989067421684,0.022571616090759722,-0.022142892325578672,-0.009370224639183982,-0.015522764272350446,-0.013767440781415567,-0.06133591326798003,0.0029174384692268076,0.044188452136882515,0.039985068840488934,-0.006529331060792411,0.0023409953947509405,-0.014659060463999896,-0.014666620360123719,-0.007032360896473352,-0.051191277627862936,0.04402359621476621,0.009271878742793845,-0.005619897185461786,-0.0060096123834575636,-0.003655322880280548
REVMENMX,0.047492258501949075,0.054640669891568384,0.9874701661557168,0.9427468537974477,1.0,0.06401546826713461,0.9260856006361562,0.8830197581291898,0.939541653448952,0.14561974368898298,-0.005362518126523952,-0.09326360685140242,0.09375288675623382,-0.03732470147878709,-0.05125793268323192,-0.019491680897244026,-0.0453130563663094,0.06294523901047511,-0.023974295374906508,0.028117654950910925,0.05662125985157441,0.6253503990321572,-0.0007871293445097597,-0.07179561117587442,-0.0791264151455959,-0.006419214273747781,-0.008857638721746367,-0.0868668068896907,-0.01414664554048341,0.020157186205016907,0.01872619198222332,0.13402280558015783,0.04496362572865271,0.00013120309003841415,-0.06802752831877983,-0.05492947445378471,0.0490282000312317,0.028431669072152537,-0.03571068565084175,-0.024068774120849293,-0.031131972143398308,-0.023915519162501873,-0.022391345384584028,0.0716565673866524,0.08184079176568074,0.14570415781843918,0.09568347436721412,-0.03561000964569577,0.07160490063596095,-0.04384521359911321,-0.04747564351412417,-0.02094784954987589,0.0002733682262258858,0.07458880439875307,0.09978183275103318,-0.028641848418158335,-0.01847181046679449,0.030602318851413877,0.10550062333412359,0.16575518348799465,0.033787090048006375,0.2156066315611598,-0.002005956214291465,-0.016834454844816313,0.025676737545855966,0.024394679883242322,0.0343330193418873,-0.030682490532527824,-0.02074420690743304,-0.016682670104170388,0.11660228493430898,-0.02824423574616958,0.010037635652725608,0.0745099096916638,0.17531973177772447,0.04362928630146816,-0.020612992437184646,-0.04950697103899367,0.022414012134920478,0.046669217537988125,0.019599717798485985,-0.022457172053803928,-0.011874072922000939,-0.016097799105994823,-0.013663854472818437,-0.06231090061153063,0.004203696268072701,0.04223524288189546,0.040635083324693594,-0.009245718990155033,0.004588775829339421,-0.015369311794064883,-0.01458121023293536,-0.007059630739723355,-0.049465379023286016,0.03838889069948047,0.01662694780120345,-0.005637105756080701,-0.00650731549854707,-0.0028478479637734423
COEFFUC,0.8436237438320794,0.293186752673557,0.06206692604452383,0.057925875676434486,0.06401546826713461,1.0,-0.1852310962583186,-0.19036806201291032,-0.17590196234374733,0.03368525340424183,0.00038842268721728273,0.0019343771076805031,-0.002425931478228499,0.06624013745810414,0.06435155790832173,-0.0093389845811497,0.11293842660035258,0.053804316250913524,0.05690361185198175,0.6287879479686072,0.49520730636876203,0.03316698689174742,0.0005575074295744997,-0.01850061991869069,-0.021654693031821753,-0.002253665346902525,0.008785466743160804,-0.06704532359390185,1.8923311333347998e-06,0.005550572410493913,-0.0007101333364036307,-0.005464555188874534,0.0012744995523685798,-0.014160485634697474,-0.002967642186899792,0.015664494059983276,0.006257886079741805,0.011122338756456393,-0.005973125025956939,0.0052200151141159005,-0.0005108606286057125,0.002634491950736046,0.010008599036722871,0.003910499232820728,0.023703154405665002,0.010417976104840621,0.0036959134713669944,-0.016496349324240954,0.00706561153739773,0.0013808037973698554,0.002641792031722075,0.006339975750346195,-0.015176192046895623,-0.01507439437036236,0.0009921558567416388,-0.00669511261038731,-0.008769269434210502,-0.006909150307501343,-0.00666929990719497,0.026609630723023314,0.015784008315060157,-0.04713748708480436,-0.0037979374485042497,0.019997337349754844,-0.00031203940601506484,-0.043929856666171226,-0.04176519991509588,-0.0016961061720480158,-0.01074854039680737,-0.007400605583927176,-0.026367758137971948,0.008377114889970356,-0.009016368942872057,0.0005175745681111929,0.020104394522702167,-0.006022256530162667,-0.05930694900613457,0.013172728400466219,0.007873616925887734,-0.0038080478928713417,-0.017370022486966608,-0.003047971675815036,-0.005861604844538502,-0.0004289662836943647,-0.005908157080202452,0.0013236390630841008,0.0250197648671658,-0.014270000104870046,-0.018832873430251126,-0.006876684049404681,0.0035373930024956792,0.002564303123590823,-0.00865661130101687,-0.008090907518570924,-0.6744867502467453,0.5785686424851516,0.10409055782857839,-0.006866647921001073,-0.011893878190949617,0.004419139152552211
REVMENUC,-0.2074519286602095,-0.024618846247686316,0.9374538378459486,0.9216138281895632,0.9260856006361562,-0.1852310962583186,1.0,0.984041618571702,0.9878555246486503,0.12486792024681108,-0.004655141513966989,-0.11748237602956436,0.11810849302446688,-0.05130915749114126,-0.06564750500995112,-0.014164053732689086,-0.07066879556194444,0.045106986833371304,-0.05178963503993885,-0.16391140250338693,-0.08389492439842675,0.6875372413261993,-0.002524775472608061,-0.06669619033609692,-0.07242759897607644,-0.006879411268795691,-0.01471339989063426,-0.07535486467080875,-0.01443344196717087,0.016255162052891604,0.026283560373193522,0.1288290820419301,0.03921474012839813,0.006599573553919845,-0.0691084177195066,-0.058651528162720824,0.045173734670351816,0.027096004738732655,-0.029140668516192323,-0.021423754368008547,-0.025491059616446016,-0.02202703679571092,-0.024623440674452487,0.06955312999579903,0.07130304267474279,0.1336275580871385,0.09812173580633189,-0.026752859989821656,0.06542230676158486,-0.04340033190732166,-0.0481749083744908,-0.019971108934470738,0.002499078140706441,0.07558995744802931,0.0946580313976036,-0.028922687876748204,-0.017545152399788037,0.03002169686389301,0.10287356576119543,0.1636862766927608,0.025487095243102578,0.21815879471803673,-0.000841323403707403,-0.02129733285675351,0.0282756261892879,0.02490163285551838,0.03456491662603841,-0.027798132826822662,-0.02007077491320734,-0.016927818866211964,0.14242951217454627,-0.03061960546091091,0.034726620531083274,0.07313547583292121,0.17281893979591925,0.0813308339269179,-0.0008042122083514631,-0.04896944397301383,0.02118304333872927,0.04510012135114548,0.021394580044510354,-0.021936275915959563,-0.01012611101419002,-0.01208940344749761,-0.013216241291671735,-0.056137916727287476,-0.00013971744116827883,0.044272861230592875,0.04126666189127744,-0.0077592445526635,-0.0004294318416954955,-0.01390223993862606,-0.01383520038187779,-0.004839685748635335,0.1710524014168756,-0.15337924840589068,-0.013067609527297235,-0.003053911331602246,-0.003634301655069592,-0.0033842340177386953
REVMENMNUC,-0.21032639677034493,-0.02458897551743097,0.9215464148395229,0.9372705096404534,0.8830197581291898,-0.19036806201291032,0.984041618571702,1.0,0.944443743834618,0.12441772119031619,-0.0041566546777168445,-0.10491351553882232,0.10552069895549318,-0.05309364016688101,-0.06736010612825859,-0.012298022332540084,-0.07235998440162845,0.04434645945111839,-0.04623728489282876,-0.16450768240002722,-0.09145852686953439,0.7864195810315274,-0.0013648399081068357,-0.06417669917133323,-0.06939592178995231,-0.006927018323787291,-0.013187004570447032,-0.06965354774022627,-0.01517120246979117,0.011246570548520423,0.03717640039858353,0.12160461647169388,0.035696631103093276,0.006453437005033423,-0.0676484344944497,-0.05718724223991205,0.04493183091750782,0.026668741621301603,-0.02505689039488941,-0.01799010173892935,-0.021383668239307586,-0.02028638939268433,-0.021426650452021807,0.06812460011224712,0.07009708878911187,0.12501800394170473,0.0970061651744454,-0.023342587810006657,0.059732933424654196,-0.039788367247117304,-0.04475499848363599,-0.018027229969868525,0.001831722804136371,0.07206032045938614,0.09061964524245598,-0.03189300116157341,-0.016808784089940184,0.027496380722074745,0.09618442056659265,0.17056880274968744,0.021316893179515833,0.20720520821924496,-0.0002660056525858143,-0.02055464474983778,0.028575947473905544,0.01913816409933757,0.028707028813808426,-0.02659020973991019,-0.0194427046346021,-0.016848868553643925,0.13530604910525304,-0.031122972204332598,0.05331374025373818,0.07232790096927291,0.17735731157805537,0.1214617784269385,0.0023016468319054613,-0.049440446263051094,0.020876617733553926,0.04395912354754851,0.022637304189687225,-0.021515468134509302,-0.008262175156754316,-0.011556615245569434,-0.01307760673155238,-0.05494963017776589,-0.0010117146832364342,0.04443876211704301,0.04057358422804716,-0.0060799732098481,-0.001450538844807784,-0.01346543630116298,-0.013835545541922113,-0.004604667758049396,0.17236103952628087,-0.152660594575498,-0.01673684050160584,-0.0028272818360658494,-0.003146720023716571,-0.003758708389731177
REVMENMXUC,-0.1995116250097178,-0.024009054293847837,0.926898847391797,0.883910274214489,0.939541653448952,-0.17590196234374733,0.9878555246486503,0.944443743834618,1.0,0.12200885797748719,-0.004968504906987207,-0.12537310996586726,0.12599942914823356,-0.048412052724275186,-0.062437357836215665,-0.015423883168688922,-0.06735453962952187,0.04459581828351743,-0.055271534773429144,-0.15909138898788844,-0.07511751193229853,0.5832868115828858,-0.0034710995775936873,-0.06715768456407777,-0.07318739238108786,-0.006659539881505167,-0.01565842496464529,-0.07836302264504427,-0.013414063199137459,0.020202536551357553,0.016091179036535827,0.13177944898644106,0.041265935092976595,0.006553290898856149,-0.06858131157607886,-0.05840223913281315,0.044207035267352764,0.026762802141697066,-0.03194717510882486,-0.023863735137090506,-0.02841307167752197,-0.02297358818172914,-0.026770284180069517,0.06898842740652048,0.07049898144148353,0.13766537645585378,0.09653688906476766,-0.02903491821473912,0.06868267262771564,-0.04542173891023512,-0.04990381892358149,-0.02114913312214806,0.0030158937861672424,0.07670252998463206,0.0957210849934805,-0.025580910923700767,-0.017731072598857568,0.03144408899027546,0.10603131848798353,0.15341363154067303,0.02846246132349415,0.22203637546175162,-0.001320486758419116,-0.021391403530960588,0.027277808999371562,0.029284747185192774,0.03877800891515939,-0.028128050295761122,-0.020097077447524633,-0.016554491999200036,0.1449210788467465,-0.029381827219790137,0.017599825827267965,0.07193427354858949,0.16435415201411302,0.04418547640317626,-0.0034954792123869922,-0.047278901069207395,0.020897059079165364,0.044921357050907954,0.01975164799739244,-0.021732681179853695,-0.011489698755956563,-0.012239392595501707,-0.012992345472578033,-0.0557115405201673,0.0006239753455317753,0.04297520556635067,0.040798346774770594,-0.009026592559805932,0.0004754686670028672,-0.013921673210893718,-0.013474934099101691,-0.004919931134797698,0.16543700744470116,-0.14999557239142555,-0.009523091280758456,-0.003171810533933563,-0.003964712088403985,-0.002972450933779778
CJACTOCCUP,0.04460005138719803,0.4748991297640849,0.14867918590771603,0.14760050641293276,0.14561974368898298,0.03368525340424183,0.12486792024681108,0.12441772119031619,0.12200885797748719,1.0,-0.010478616362989128,0.1923588235388729,-0.19146944805048705,-0.11484072346374652,-0.12434796725806638,-0.017547956963892337,-0.21885859505971078,0.5248666500105054,5.80172704854579e-05,0.08245765965802845,-0.03849980256136405,0.10237436349727473,-0.00017954118068009493,-0.034641797843182214,-0.042077248536433055,-0.002732178432911648,0.01858136644718711,0.0006546405374890892,-0.036275744741394174,-0.012496691901710379,0.057696383626306275,0.016578894489484026,0.005543726749845431,-0.02629245518283374,-0.00639749417961664,0.012711490742259284,0.0328891662584153,0.02902056498980552,-0.03019270055146295,-0.017150303084575075,-0.02597004140183322,-0.010723060461606855,0.003498900017424137,0.008481861729700705,0.029376132251296136,0.03521104766105393,0.05980003489182133,-0.0046641956320325915,-0.005538907181753153,-0.014695440980549373,-0.01427499079359624,-0.00042724280866090233,0.00233301871351824,0.046517347571215235,0.05709494244139663,0.000699271238784724,-0.00875866179098449,0.010691166764637381,0.027053477522159062,0.01633797967690842,-0.022600487286263557,0.07876581548769948,0.003917681253962081,-0.029382347219154614,0.00017921393910664798,0.0071569903993896145,0.007941795064763729,-0.006254205586593847,-0.018895332269561027,-0.009022787890853267,-0.06347293397038438,-0.01822461476956409,-0.0038714507453828616,-0.00172296392852406,0.010910476768396096,0.019619700588652485,-0.02233682374607636,-0.0666374080067099,0.0069886801530922305,0.037501881047463624,0.03367266374257738,-0.011492930893192204,-0.008888094151385128,-0.001987114139887638,-0.0024576440330863715,-0.06326526439393051,-0.017210034574823913,0.026171211440303814,0.04868147219936548,0.010990011955245576,0.004429333100639177,0.0013947585836345871,-0.011805138604686703,-0.0013438850653913089,-0.14042807709991098,0.11542622814851722,0.030477898761607627,-0.012599294233994923,0.005722756230628844,-0.012599294233994923
